Sr. No.,Query,0,1,2,3,4,5,6,7,8,9
1,property rates,Loan Against Property For Doctors,Gold Loan Interest rate,Loan Against Property Interest Rates,FD Interest Rates,,,,,,
2,price protection,Mobile Protection Plan,COVID Protection Cover,Home painting,Price Protection Cover,Product Information,Traditional,Credit Card Contact Details,,,
3,make,MakeMytrip,,,,,,,,,
4,trading account,Online Trading,Low Brokerage Demat and Trading Account,Home Loan For Chartered Accountants,Washing Machine,Working Capital Loan,Machinery Loan,Traditional,How to Open demat account,Demat Account,
5,security,Cyber Security Cover,Curefit,Loan Against Securities,Insta Credit,Demat Account,Refrigerators,Watch Secure,Printers,Seniority,Ease My Trip
6,business loan chartered,Business Loan For Women,Business Loan Against Property,Business Loan For Chartered Accountants,Business Loan for Doctors,,,,,,
7,pre,Curefit,Flipkart,SuperCard,New,Eye Care,Sportswear,Printers,,,
8,plan sdp calculator,Hybrid Flexi Personal Loan EMI Calculator,Systematic Deposit Plan SDP calculator,Personal Loan Eligibility Calculator,Personal Loan EMI Calculator,Fixed Deposit Calculator,Home Loan EMI Calculator,Calculator,Loan Against Property Calculator,Home Loan Eligibility Calculator,
9,flexi loan,Flexi Personal Loan,Flexi Home Loan,Gold Loan,Home Loan,Flexi Loan,Television,Hybrid Flexi Car Loan,Term Loan,,
10,credit card contact details,Credit Card Bill Payment,Contact Us,Credit Card,Track Credit Card Application Status,Credit Card Contact Details,Credit Card Offers,,,,
11,power,Oppo,SuperCard,Apply Now,Sportswear,Kids wear,,,,,
12,coverage,Trek Cover,Home Insurance,Realme,Mortgage Loan,Coverage Details,,,,,
13,check pre approved,Check Pre Approved Offer,Check Preapproved Offer,Check PreApproved Offer,,,,,,,
14,loan emi calculator,Hybrid Flexi Personal Loan EMI Calculator,Personal Loan Eligibility Calculator,Systematic Deposit Plan SDP calculator,Personal Loan EMI Calculator,Fixed Deposit Calculator,Home Loan EMI Calculator,Calculator,Loan Against Property Calculator,Home Loan Eligibility Calculator,
15,senior citizen,Business Loan For Women,Cyber Security Cover,Air Purifier,Air Conditioners,Business Loan for Doctors,Senior Citizen FD,Water Purifier,Seniority,,
16,car tyres accessories,Power BackupInverters and Batteries,FD Interest Rates,Mattresses,Features and Benefits,Car Tyres and Accessories,Inverters  Generators,Education and Professional courses,,,
17,balance,Watches,Dental Care,Tablets,Realme,Wallet Care,Cycle Insurance,Health Insurance,Health insurance,,
18,travel easy,Mutual Funds,Travel Easy SuperCard,Mattresses,Travel on No Cost EMI,Dental Care,Mortgage Loan,Formals,,,
19,charges,Watches,Fraudulent Charges Cover,Mattresses,Loan Against Shares,Refrigerators,Eye Care,Watch Secure,Fees and Charges,Printers,Tablets
20,online,Online Trading,Home Insurance,Personal Loan,Air Conditioners,Loan Against Shares,National Pension Scheme,Printers,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,