Sr. No.,Query,Result_1,Result_2,Result_3,Result_4,Result_5,,,Relevance1,Relevance2,Rel3,rel4,rel5
1,property rates,mortgage property,property loan,property tax,loan against property interest rates,property loan caluclator,,,,,,,
2,price protection,car dekho price,health prime,health prime package,redmi 9 prime ,prime minister rozgar yojana,,,,,,,
3,make,make a payment,make online payment ,make payment,how to make bajaj finance card ,how to make bajaj finserv emi card,,,,,,,
4,trading account,trading account and demat account,online trading account,open trading account,demat trading account,demat and trading account,,,,,,,
5,security,security awareness contentainer,security camera insurance,cyber security coverage,loan for business without security,cyber security protection plan,,,,,,,
6,business loan chartered,business loan,business loans,business loan eligibility,sme business loan,business loan reviews,,,,,,,
7,pre,pre approved credit card,pre approved credit cards,pre approved loan,pre approved offer,pre approved offers,,,,,,,
8,plan sdp calculator,sdp transaction statement,opd consultation plan,cpp shield plan,lap loan calculator,loan insurance plan,,,,,,,
9,flexi loan,flexi loan,my flexi loans,my flexi loan ,flexi,my flexi loans details,,,,,,,
10,credit card contact details,credit card,credit card on credit card,credit cards,credit card to credit card apply,credit card payment through credit card,,,,,,,
11,power,power bank,moto g9 power,mi 9 power ,redmi 9 power,,,,,,,,
12,coverage,electronic stationery coverage,parkinson disease insurance coverage,pen insurance coverage,handheld table device insurance coverage,sports insurance coverage,,,,,,,
13,check pre approved,check  emi,pre approved loan ,pre approved offer,pre approved offers,check cibil score,,,,,,,
14,loan emi calculator,land loan emi calculator,lap loan emi calculator,mortgage loan emi calculator,personal loan emi calculator,property loan emi calculator,,,,,,,
15,senior citizen,senior citizen fd rates,senior citizens fixed deposist interest rate,senior citizens fixed deposist interest rate comparison,senior citizen fixed deposit scheme,fd for senior citizen,,,,,,,
16,car tyres accessories,we care,wallet care,customer care,tyre,credit card customer care,,,,,,,
17,balance,balance,balance emi,balance enquiry,balance transfer and top up loan,balance transfer calculator,,,,,,,
18,travel easy,travel package,travel insurance,travel (domestic) - travel accidental hospitalization with travel dental treatment expenses cover,travel (domestic) - travel accidental hospitalization with travel emergency medical evacuation cover,backpacker travel insurance,,,,,,,
19,charges,charges due?,business loan fees and charges ,business loan foreclosure charges ,demant account charges,personal loan fees and charges,,,,,,,
20,online,online application for bajaj emi card,online application for bajaj finserv emi card,online application for bajaj health card,online applu bajaj finance card,online apply bajaj finserv emi card,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,