Sr.No.,Query,Relevance1,Relevance2,Rel3,rel4,rel5
1,property rates,1,1,1,1,1
2,price protection,0,0,0,0,0
3,make,1,1,1,1,1
4,trading account,1,1,1,1,1
5,security,1,1,1,1,1
6,business loan chartered,1,1,1,1,1
7,pre,1,1,1,1,1
8,plan sdp calculator,1,0,0,0,0
9,flexi loan,1,1,1,1,1
10,credit card contact details,1,1,1,0,0
11,power,1,1,1,1,
12,coverage,1,1,1,1,1
13,check pre approved,1,1,1,1,0
14,loan emi calculator,1,1,1,1,1
15,senior citizen,1,1,1,1,1
16,car tyres accessories,0,0,0,1,0
17,balance,1,1,1,1,1
18,travel easy,1,1,1,1,1
19,charges,1,1,1,1,1
20,online,1,1,1,1,1